category,model,status,n_candidates,n_held,elapsed_s,note,clutter_target,stack_flat_target,liquid_target,food_transfer_target,table_obstacle,wide_opening_container
acetone_atomizer,krtwsl,graspable,200,5,15.9,max_dim=0.260,possible,not_suitable,possible,not_suitable,possible,not_suitable
acorn,qkjrwt,graspable,200,5,11.0,max_dim=0.033,not_suitable,not_suitable,not_suitable,possible,not_suitable,not_suitable
address,pbfbxj,too_large,0,0,0.0,max_dim=0.577,not_suitable,possible,not_suitable,not_suitable,not_suitable,not_suitable
agave,bvlsig,not_ready,0,0,0.0,max_dim=0.102,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
agave,cnlzlq,not_ready,0,0,0.0,max_dim=0.119,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
air_conditioner,pekain,too_large,0,0,0.0,max_dim=0.875,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
air_filter,eguida,graspable,200,5,42.2,max_dim=0.127,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
air_freshener_atomizer,vxtgpy,graspable,200,5,60.0,max_dim=0.292,possible,not_suitable,possible,not_suitable,possible,not_suitable
alarm_clock,cvknrh,not_ready,0,0,0.0,max_dim=0.201,perfect,not_suitable,not_suitable,not_suitable,perfect,not_suitable
alarm_clock,trwyaq,not_ready,0,0,0.0,max_dim=0.152,perfect,not_suitable,not_suitable,not_suitable,perfect,not_suitable
alarm_clock,vqwovi,graspable,200,5,14.0,max_dim=0.114,perfect,not_suitable,not_suitable,not_suitable,perfect,not_suitable
allen_wrench,neqlcn,graspable,200,5,31.2,max_dim=0.150,not_suitable,not_suitable,not_suitable,not_suitable,possible,not_suitable
allspice_shaker,cibgje,graspable,200,5,12.4,max_dim=0.160,possible,not_suitable,not_suitable,not_suitable,perfect,not_suitable
alphabet_abacus,wojwvu,graspable,200,5,59.4,max_dim=0.393,not_suitable,not_suitable,not_suitable,not_suitable,possible,not_suitable
aluminum_foil,ebsqqe,graspable,200,4,82.0,max_dim=0.400,not_suitable,possible,not_suitable,not_suitable,possible,not_suitable
ammonia_water_atomizer,bnrlqd,graspable,200,5,14.6,max_dim=0.256,possible,not_suitable,possible,not_suitable,possible,not_suitable
antlers,nlsanr,too_large,0,0,0.0,max_dim=0.561,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
antlers,ovwdwa,too_large,0,0,0.0,max_dim=0.555,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
apple,agveuv,graspable,200,5,10.1,max_dim=0.087,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,bwteqh,graspable,200,5,10.3,max_dim=0.071,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,dfgurb,graspable,200,5,24.5,max_dim=0.115,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,hwrflj,not_ready,0,0,0.0,max_dim=0.076,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,netbsb,graspable,200,5,10.0,max_dim=0.087,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,obixxh,graspable,200,5,10.2,max_dim=0.063,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,omzprq,graspable,200,5,11.4,max_dim=0.086,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,qrqzvs,graspable,200,5,37.4,max_dim=0.133,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,rizrsp,not_ready,0,0,0.0,max_dim=0.041,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,ymhxqk,not_ready,0,0,0.0,max_dim=0.070,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,yyuiva,not_ready,0,0,0.0,max_dim=0.089,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,zlxfxt,graspable,200,5,13.2,max_dim=0.063,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple,zutnsf,not_ready,0,0,0.0,max_dim=0.073,possible,not_suitable,not_suitable,perfect,possible,not_suitable
apple_pie,ejrgdj,graspable,200,5,24.1,max_dim=0.174,not_suitable,not_suitable,not_suitable,perfect,possible,not_suitable
apple_pie,rpdhbr,graspable,200,5,13.2,max_dim=0.173,not_suitable,not_suitable,not_suitable,perfect,possible,not_suitable
apricot,qmwmwm,graspable,200,5,9.4,max_dim=0.090,not_suitable,not_suitable,not_suitable,perfect,possible,not_suitable
apron,uxgjdv,too_large,0,0,0.0,max_dim=1.057,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
arbor,qewqan,too_large,0,0,0.0,max_dim=2.992,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
architectural_plan,upkcfq,too_large,0,0,0.0,max_dim=0.602,not_suitable,perfect,not_suitable,not_suitable,possible,not_suitable
arepa,hhtbuy,graspable,200,5,12.0,max_dim=0.186,not_suitable,not_suitable,not_suitable,perfect,not_suitable,not_suitable
armchair,axcwcm,too_large,0,0,0.0,max_dim=0.768,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,axudcx,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,bdgwkg,too_large,0,0,0.0,max_dim=0.873,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,bslhmj,too_large,0,0,0.0,max_dim=0.812,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,ccpgpe,too_large,0,0,0.0,max_dim=0.855,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,cehzwd,too_large,0,0,0.0,max_dim=1.039,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,cyvmhv,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,esfrjm,too_large,0,0,0.0,max_dim=0.991,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,fsrprw,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,hdibix,too_large,0,0,0.0,max_dim=0.917,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,hfydou,too_large,0,0,0.0,max_dim=0.796,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,ihhodt,too_large,0,0,0.0,max_dim=0.840,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,irzlby,too_large,0,0,0.0,max_dim=0.917,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,jmunen,too_large,0,0,0.0,max_dim=0.768,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,jzthdw,too_large,0,0,0.0,max_dim=0.866,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,nckeqb,too_large,0,0,0.0,max_dim=0.791,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,nibzys,too_large,0,0,0.0,max_dim=0.891,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,ouqlrc,too_large,0,0,0.0,max_dim=1.153,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,pfntgd,too_large,0,0,0.0,max_dim=0.855,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,pmrcex,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,qerjol,too_large,0,0,0.0,max_dim=0.862,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,qgcjtr,too_large,0,0,0.0,max_dim=0.791,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,qhcrgb,too_large,0,0,0.0,max_dim=0.866,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,qjwuus,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,qplklw,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,qyntri,too_large,0,0,0.0,max_dim=0.917,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,rabzuf,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,rtbsof,too_large,0,0,0.0,max_dim=0.916,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,tcscts,too_large,0,0,0.0,max_dim=0.762,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,tcxiue,too_large,0,0,0.0,max_dim=0.791,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,tgbaim,too_large,0,0,0.0,max_dim=0.875,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,thfelc,too_large,0,0,0.0,max_dim=0.808,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,thhqkc,too_large,0,0,0.0,max_dim=1.395,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,umbrpd,too_large,0,0,0.0,max_dim=0.768,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,viphen,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,vtsoat,too_large,0,0,0.0,max_dim=0.768,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,vzfhpv,too_large,0,0,0.0,max_dim=0.812,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,vzhxuf,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,wkmkvd,too_large,0,0,0.0,max_dim=1.084,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,xkacfd,too_large,0,0,0.0,max_dim=0.768,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,xpcheg,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,xqovyv,too_large,0,0,0.0,max_dim=0.834,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,ybcnmu,too_large,0,0,0.0,max_dim=1.042,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,zoamsi,too_large,0,0,0.0,max_dim=0.878,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,zrgdsz,too_large,0,0,0.0,max_dim=0.851,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
armchair,zxhcxt,too_large,0,0,0.0,max_dim=0.830,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable,not_suitable
