category,model,status,n_candidates,n_tried,elapsed_s,note
acetone_atomizer,krtwsl,graspable,496,13,21.8,i=36 z_rise=0.065
acorn,qkjrwt,no_grasp,560,128,150.5,
address,pbfbxj,graspable,912,5,9.2,i=30 z_rise=0.061
agave,bvlsig,no_candidates,0,0,2.6,
agave,cnlzlq,no_grasp,16,6,9.8,
air_conditioner,pekain,no_grasp,16,5,7.5,
air_filter,eguida,graspable,320,6,13.4,i=12 z_rise=0.062
air_freshener_atomizer,vxtgpy,no_grasp,160,54,60.3,
alarm_clock,cvknrh,graspable,608,7,16.3,i=53 z_rise=0.054
alarm_clock,trwyaq,graspable,320,6,15.7,i=30 z_rise=0.067
alarm_clock,vqwovi,graspable,320,3,6.5,i=9 z_rise=0.051
allen_wrench,neqlcn,no_grasp,480,103,118.5,
allspice_shaker,cibgje,graspable,624,3,8.6,i=13 z_rise=0.074
alphabet_abacus,wojwvu,graspable,880,20,39.5,i=65 z_rise=0.058
aluminum_foil,ebsqqe,no_candidates,0,0,1.8,
ammonia_water_atomizer,bnrlqd,graspable,528,2,6.2,i=5 z_rise=0.084
antlers,nlsanr,no_grasp,592,38,47.6,
antlers,ovwdwa,graspable,736,23,30.7,i=53 z_rise=0.043
apple,agveuv,graspable,944,1,3.5,i=0 z_rise=0.060
apple,bwteqh,graspable,512,13,17.0,i=34 z_rise=0.050
apple,dfgurb,graspable,96,4,7.6,i=7 z_rise=0.043
apple,hwrflj,graspable,416,8,11.6,i=12 z_rise=0.048
apple,netbsb,graspable,656,1,3.6,i=0 z_rise=0.069
apple,obixxh,graspable,464,2,4.9,i=2 z_rise=0.085
apple,omzprq,graspable,896,2,4.8,i=5 z_rise=0.062
apple,qrqzvs,no_grasp,32,12,15.2,
apple,rizrsp,no_grasp,432,148,168.9,
apple,ymhxqk,graspable,544,6,9.4,i=10 z_rise=0.051
apple,yyuiva,graspable,208,5,8.8,i=6 z_rise=0.051
apple,zlxfxt,graspable,400,2,4.9,i=3 z_rise=0.063
apple,zutnsf,graspable,512,3,6.0,i=9 z_rise=0.053
apple_pie,ejrgdj,no_grasp,576,50,62.0,
apple_pie,rpdhbr,graspable,720,5,7.2,i=53 z_rise=0.047
apricot,qmwmwm,graspable,16,1,3.5,i=4 z_rise=0.072
apron,uxgjdv,no_grasp,16,0,3.1,
arbor,qewqan,no_grasp,1008,0,2.1,
architectural_plan,upkcfq,graspable,416,7,12.0,i=20 z_rise=0.073
arepa,hhtbuy,graspable,688,19,26.7,i=72 z_rise=0.069
armchair,axcwcm,no_grasp,672,132,172.2,
armchair,axudcx,no_grasp,864,121,154.6,
armchair,bdgwkg,timeout,560,142,180.5,after 142 tries
armchair,bslhmj,timeout,336,119,182.1,after 119 tries
armchair,ccpgpe,no_grasp,992,26,20.1,
armchair,cehzwd,timeout,992,77,185.9,after 77 tries
armchair,cyvmhv,timeout,704,4,947.9,after 4 tries
armchair,esfrjm,timeout,432,148,180.3,close 148
armchair,fsrprw,no_grasp,16,4,7.4,
armchair,hdibix,no_grasp,608,141,170.5,
armchair,hfydou,no_grasp,848,137,164.7,
armchair,ihhodt,no_grasp,992,127,176.9,
armchair,irzlby,timeout,400,134,180.3,settle 134
armchair,jmunen,no_grasp,912,110,139.3,
armchair,jzthdw,no_grasp,160,37,31.4,
armchair,nckeqb,no_candidates,0,0,1.8,
armchair,nibzys,no_grasp,608,112,130.9,
armchair,ouqlrc,timeout,624,152,180.4,close 152
armchair,pfntgd,no_grasp,976,83,97.0,
armchair,pmrcex,no_grasp,848,74,97.1,
armchair,qerjol,no_grasp,960,113,126.9,
armchair,qgcjtr,no_grasp,304,66,76.5,
armchair,qhcrgb,no_grasp,176,68,80.3,
armchair,qjwuus,no_grasp,512,177,158.8,
armchair,qplklw,no_grasp,928,143,143.1,
armchair,qyntri,timeout,560,64,187.7,close 64
armchair,rabzuf,timeout,352,4,2575.7,ik 4
armchair,rtbsof,too_large,0,0,0.0,too_large(max_dim=0.92m)
armchair,tcscts,too_large,0,0,0.0,too_large(max_dim=0.76m)
armchair,tcxiue,too_large,0,0,0.0,too_large(max_dim=0.79m)
armchair,tgbaim,too_large,0,0,0.0,too_large(max_dim=0.88m)
armchair,thfelc,too_large,0,0,0.0,too_large(max_dim=0.81m)
armchair,thhqkc,too_large,0,0,0.0,too_large(max_dim=1.40m)
armchair,umbrpd,too_large,0,0,0.0,too_large(max_dim=0.77m)
armchair,viphen,too_large,0,0,0.0,too_large(max_dim=0.83m)
armchair,vtsoat,too_large,0,0,0.0,too_large(max_dim=0.77m)
armchair,vzfhpv,too_large,0,0,0.0,too_large(max_dim=0.81m)
armchair,vzhxuf,too_large,0,0,0.0,too_large(max_dim=0.83m)
