category,model,status,n_cand,n_tried,elapsed_s,note
acetone_atomizer,krtwsl,graspable,200,5,15.9,max_dim=0.260
acorn,qkjrwt,graspable,200,5,11.0,max_dim=0.033
address,pbfbxj,too_large,0,0,0.0,max_dim=0.577
agave,bvlsig,not_ready,0,0,0.0,max_dim=0.102
agave,cnlzlq,not_ready,0,0,0.0,max_dim=0.119
air_conditioner,pekain,too_large,0,0,0.0,max_dim=0.875
air_filter,eguida,graspable,200,5,42.2,max_dim=0.127
air_freshener_atomizer,vxtgpy,graspable,200,5,60.0,max_dim=0.292
alarm_clock,cvknrh,not_ready,0,0,0.0,max_dim=0.201
alarm_clock,trwyaq,not_ready,0,0,0.0,max_dim=0.152
alarm_clock,vqwovi,graspable,200,5,14.0,max_dim=0.114
allen_wrench,neqlcn,graspable,200,5,31.2,max_dim=0.150
allspice_shaker,cibgje,graspable,200,5,12.4,max_dim=0.160
alphabet_abacus,wojwvu,graspable,200,5,59.4,max_dim=0.393
aluminum_foil,ebsqqe,graspable,200,4,82.0,max_dim=0.400
ammonia_water_atomizer,bnrlqd,graspable,200,5,14.6,max_dim=0.256
antlers,nlsanr,too_large,0,0,0.0,max_dim=0.561
antlers,ovwdwa,too_large,0,0,0.0,max_dim=0.555
apple,agveuv,graspable,200,5,10.1,max_dim=0.087
apple,bwteqh,graspable,200,5,10.3,max_dim=0.071
apple,dfgurb,graspable,200,5,24.5,max_dim=0.115
apple,hwrflj,not_ready,0,0,0.0,max_dim=0.076
apple,netbsb,graspable,200,5,10.0,max_dim=0.087
apple,obixxh,graspable,200,5,10.2,max_dim=0.063
apple,omzprq,graspable,200,5,11.4,max_dim=0.086
apple,qrqzvs,graspable,200,5,37.4,max_dim=0.133
apple,rizrsp,not_ready,0,0,0.0,max_dim=0.041
apple,ymhxqk,not_ready,0,0,0.0,max_dim=0.070
apple,yyuiva,not_ready,0,0,0.0,max_dim=0.089
apple,zlxfxt,graspable,200,5,13.2,max_dim=0.063
apple,zutnsf,not_ready,0,0,0.0,max_dim=0.073
apple_pie,ejrgdj,graspable,200,5,24.1,max_dim=0.174
