category,model,status,n_cand,n_tried,elapsed_s,note
acetone_atomizer,krtwsl,pending,0,0,0.0,max_dim=0.260
acorn,qkjrwt,pending,0,0,0.0,max_dim=0.033
address,pbfbxj,too_large,0,0,0.0,max_dim=0.577
agave,bvlsig,not_ready,0,0,0.0,max_dim=0.102
agave,cnlzlq,not_ready,0,0,0.0,max_dim=0.119
air_conditioner,pekain,too_large,0,0,0.0,max_dim=0.875
air_filter,eguida,pending,0,0,0.0,max_dim=0.127
air_freshener_atomizer,vxtgpy,pending,0,0,0.0,max_dim=0.292
alarm_clock,cvknrh,not_ready,0,0,0.0,max_dim=0.201
alarm_clock,trwyaq,not_ready,0,0,0.0,max_dim=0.152
alarm_clock,vqwovi,pending,0,0,0.0,max_dim=0.114
allen_wrench,neqlcn,pending,0,0,0.0,max_dim=0.150
allspice_shaker,cibgje,pending,0,0,0.0,max_dim=0.160
alphabet_abacus,wojwvu,pending,0,0,0.0,max_dim=0.393
aluminum_foil,ebsqqe,pending,0,0,0.0,max_dim=0.400
ammonia_water_atomizer,bnrlqd,pending,0,0,0.0,max_dim=0.256
antlers,nlsanr,too_large,0,0,0.0,max_dim=0.561
antlers,ovwdwa,too_large,0,0,0.0,max_dim=0.555
apple,agveuv,pending,0,0,0.0,max_dim=0.087
apple,bwteqh,pending,0,0,0.0,max_dim=0.071
apple,dfgurb,pending,0,0,0.0,max_dim=0.115
apple,hwrflj,not_ready,0,0,0.0,max_dim=0.076
apple,netbsb,pending,0,0,0.0,max_dim=0.087
apple,obixxh,pending,0,0,0.0,max_dim=0.063
apple,omzprq,pending,0,0,0.0,max_dim=0.086
apple,qrqzvs,pending,0,0,0.0,max_dim=0.133
apple,rizrsp,not_ready,0,0,0.0,max_dim=0.041
apple,ymhxqk,not_ready,0,0,0.0,max_dim=0.070
apple,yyuiva,not_ready,0,0,0.0,max_dim=0.089
apple,zlxfxt,pending,0,0,0.0,max_dim=0.063
apple,zutnsf,not_ready,0,0,0.0,max_dim=0.073
apple_pie,ejrgdj,pending,0,0,0.0,max_dim=0.174
apple_pie,rpdhbr,pending,0,0,0.0,max_dim=0.173
apricot,qmwmwm,pending,0,0,0.0,max_dim=0.090
apron,uxgjdv,too_large,0,0,0.0,max_dim=1.057
arbor,qewqan,too_large,0,0,0.0,max_dim=2.992
architectural_plan,upkcfq,too_large,0,0,0.0,max_dim=0.602
arepa,hhtbuy,pending,0,0,0.0,max_dim=0.186
armchair,axcwcm,too_large,0,0,0.0,max_dim=0.768
armchair,axudcx,too_large,0,0,0.0,max_dim=0.834
armchair,bdgwkg,too_large,0,0,0.0,max_dim=0.873
armchair,bslhmj,too_large,0,0,0.0,max_dim=0.812
armchair,ccpgpe,too_large,0,0,0.0,max_dim=0.855
armchair,cehzwd,too_large,0,0,0.0,max_dim=1.039
armchair,cyvmhv,too_large,0,0,0.0,max_dim=0.834
armchair,esfrjm,too_large,0,0,0.0,max_dim=0.991
armchair,fsrprw,too_large,0,0,0.0,max_dim=0.834
armchair,hdibix,too_large,0,0,0.0,max_dim=0.917
armchair,hfydou,too_large,0,0,0.0,max_dim=0.796
armchair,ihhodt,too_large,0,0,0.0,max_dim=0.840
armchair,irzlby,too_large,0,0,0.0,max_dim=0.917
armchair,jmunen,too_large,0,0,0.0,max_dim=0.768
armchair,jzthdw,too_large,0,0,0.0,max_dim=0.866
armchair,nckeqb,too_large,0,0,0.0,max_dim=0.791
armchair,nibzys,too_large,0,0,0.0,max_dim=0.891
armchair,ouqlrc,too_large,0,0,0.0,max_dim=1.153
armchair,pfntgd,too_large,0,0,0.0,max_dim=0.855
armchair,pmrcex,too_large,0,0,0.0,max_dim=0.834
armchair,qerjol,too_large,0,0,0.0,max_dim=0.862
armchair,qgcjtr,too_large,0,0,0.0,max_dim=0.791
armchair,qhcrgb,too_large,0,0,0.0,max_dim=0.866
armchair,qjwuus,too_large,0,0,0.0,max_dim=0.834
armchair,qplklw,too_large,0,0,0.0,max_dim=0.834
armchair,qyntri,too_large,0,0,0.0,max_dim=0.917
armchair,rabzuf,too_large,0,0,0.0,max_dim=0.834
armchair,rtbsof,too_large,0,0,0.0,max_dim=0.916
armchair,tcscts,too_large,0,0,0.0,max_dim=0.762
armchair,tcxiue,too_large,0,0,0.0,max_dim=0.791
armchair,tgbaim,too_large,0,0,0.0,max_dim=0.875
armchair,thfelc,too_large,0,0,0.0,max_dim=0.808
armchair,thhqkc,too_large,0,0,0.0,max_dim=1.395
armchair,umbrpd,too_large,0,0,0.0,max_dim=0.768
armchair,viphen,too_large,0,0,0.0,max_dim=0.834
armchair,vtsoat,too_large,0,0,0.0,max_dim=0.768
armchair,vzfhpv,too_large,0,0,0.0,max_dim=0.812
armchair,vzhxuf,too_large,0,0,0.0,max_dim=0.834
armchair,wkmkvd,too_large,0,0,0.0,max_dim=1.084
armchair,xkacfd,too_large,0,0,0.0,max_dim=0.768
armchair,xpcheg,too_large,0,0,0.0,max_dim=0.834
armchair,xqovyv,too_large,0,0,0.0,max_dim=0.834
armchair,ybcnmu,too_large,0,0,0.0,max_dim=1.042
armchair,zoamsi,too_large,0,0,0.0,max_dim=0.878
armchair,zrgdsz,too_large,0,0,0.0,max_dim=0.851
armchair,zxhcxt,too_large,0,0,0.0,max_dim=0.830
artichoke,tfclmg,pending,0,0,0.0,max_dim=0.067
arugula,lbkpoh,pending,0,0,0.0,max_dim=0.096
ashtray,dhkkfo,not_ready,0,0,0.0,max_dim=0.101
ashtray,nfuxzd,pending,0,0,0.0,max_dim=0.129
asparagus,eodozo,pending,0,0,0.0,max_dim=0.192
asparagus,npggjn,pending,0,0,0.0,max_dim=0.168
asparagus,xguktb,pending,0,0,0.0,max_dim=0.156
auricularia,coecnm,not_ready,0,0,0.0,max_dim=0.049
avocado,arswzs,pending,0,0,0.0,max_dim=0.114
axe,plqyos,too_large,0,0,0.0,max_dim=0.535
baby_bottle,mzedhe,pending,0,0,0.0,max_dim=0.158
baby_shoe,jzwnri,pending,0,0,0.0,max_dim=0.127
baby_shoe,tnbjlw,pending,0,0,0.0,max_dim=0.127
background,eydaus,too_large,0,0,0.0,max_dim=49.681
background,gkemae,too_large,0,0,0.0,max_dim=5.689
background,miopfw,too_large,0,0,0.0,max_dim=100.762
background,zqogsh,too_large,0,0,0.0,max_dim=49.681
backpack,gvbiwl,pending,0,0,0.0,max_dim=0.489
bacon,eclhdh,pending,0,0,0.0,max_dim=0.106
bacon,iiatla,pending,0,0,0.0,max_dim=0.132
bacon,ioogif,pending,0,0,0.0,max_dim=0.133
bag_of_auricularia,vyxoju,not_ready,0,0,0.0,max_dim=0.214
bag_of_breadcrumbs,nvhvxe,pending,0,0,0.0,max_dim=0.158
bag_of_brown_rice,tnfazj,not_ready,0,0,0.0,max_dim=0.332
bag_of_chips,bryahw,pending,0,0,0.0,max_dim=0.288
bag_of_chips,dwkdko,pending,0,0,0.0,max_dim=0.290
bag_of_chips,ennnjj,pending,0,0,0.0,max_dim=0.273
bag_of_chips,jphwer,pending,0,0,0.0,max_dim=0.278
bag_of_chips,qstxpj,pending,0,0,0.0,max_dim=0.290
bag_of_chips,uevvib,pending,0,0,0.0,max_dim=0.278
bag_of_chips,wnuoym,pending,0,0,0.0,max_dim=0.317
bag_of_cookies,bbyvsc,pending,0,0,0.0,max_dim=0.165
bag_of_cookies,ikivgk,pending,0,0,0.0,max_dim=0.146
bag_of_cookies,ksjtde,pending,0,0,0.0,max_dim=0.247
bag_of_cookies,vafomx,pending,0,0,0.0,max_dim=0.234
bag_of_cream_cheese,dxrsol,pending,0,0,0.0,max_dim=0.146
bag_of_fertilizer,rqpgrk,too_large,0,0,0.0,max_dim=0.538
bag_of_flour,fntqmd,pending,0,0,0.0,max_dim=0.192
bag_of_flour,rlejxx,not_ready,0,0,0.0,max_dim=0.239
bag_of_ice_cream,himfgn,pending,0,0,0.0,max_dim=0.166
bag_of_ice_cream,jwalbo,pending,0,0,0.0,max_dim=0.167
bag_of_jerky,wblype,pending,0,0,0.0,max_dim=0.194
bag_of_mulch,foxqdk,too_large,0,0,0.0,max_dim=0.592
bag_of_oranges,vohgas,pending,0,0,0.0,max_dim=0.156
bag_of_popcorn,dmubtt,not_ready,0,0,0.0,max_dim=0.209
bag_of_popcorn,ebygfp,not_ready,0,0,0.0,max_dim=0.191
bag_of_rice,eddcjz,pending,0,0,0.0,max_dim=0.317
bag_of_rice,feerye,pending,0,0,0.0,max_dim=0.194
bag_of_rice,jzjqjb,pending,0,0,0.0,max_dim=0.315
bag_of_rice,xcokwx,pending,0,0,0.0,max_dim=0.317
bag_of_rubbish,qfkzkd,too_large,0,0,0.0,max_dim=0.728
bag_of_shiitake,jazecy,not_ready,0,0,0.0,max_dim=0.219
bag_of_snacks,pkwgid,pending,0,0,0.0,max_dim=0.282
bag_of_starch,npegpl,too_large,0,0,0.0,max_dim=0.527
bag_of_tea,jjweyi,pending,0,0,0.0,max_dim=0.248
bag_of_yeast,ibvtik,not_ready,0,0,0.0,max_dim=0.173
bagel,zlxkry,pending,0,0,0.0,max_dim=0.156
bagel_dough,iuembm,not_ready,0,0,0.0,max_dim=0.200
baguette,pjzkeh,not_ready,0,0,0.0,max_dim=0.157
baguette,xhqnuc,not_ready,0,0,0.0,max_dim=0.160
baguette,xydhpd,pending,0,0,0.0,max_dim=0.163
baguette,ypbyek,not_ready,0,0,0.0,max_dim=0.105
bait,lghbdw,pending,0,0,0.0,max_dim=0.150
baking_powder_jar,lgopij,not_ready,0,0,0.0,max_dim=0.235
baking_sheet,yhurut,pending,0,0,0.0,max_dim=0.416
balloon,ixhbmk,pending,0,0,0.0,max_dim=0.409
banana,verqwv,not_ready,0,0,0.0,max_dim=0.200
